Category,Icon,Location,Refined_KR,Refined_EN,Original
Move,🚶,,이동 (지하1층 대합실),Move (지하1층 대합실),지하1층 대합실 이동
Elevator Activity,🛗,,엘리베이터 하차 (지하1층 대합실 후 을지로3가 방면 표 내는 곳 후),Exit Elevator (지하1층 대합실 후 을지로3가 Bound for 표 내는 곳 후),지하1층 대합실 하차 후 을지로3가 방면 표 내는 곳 통과 후 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 하차 (지하1층 대합실 후 을지로3가방면 표 내는 곳),Exit Elevator (지하1층 대합실 후 을지로3가Bound for 표 내는 곳),지하1층 대합실 하차 후 을지로3가방면 표 내는 곳 옆 엘리베이터 탑승
Subway Activity,🚉,,하차 (지하1층 대합실 후 오른쪽으로 90M),Alight (지하1층 대합실 후 오른쪽으로 90M),지하1층 대합실 하차후 오른쪽으로 90M 이동
Elevator Activity,🛗,,엘리베이터 하차 (지하1층),Exit Elevator (지하1층),지하1층 엘리베이터 하차
Subway Activity,🚉,,하차 (지하5층 5호선 승강장),Alight (지하5층 5Line  승강장),지하5층 5호선 승강장 하차
Gate,🎫,,게이트 통과 (표 내는 곳),Pass Gate (표 내는 곳),표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (표 내는 곳 후 2호선 대합실 방향),Enter Elevator (표 내는 곳 후 2Line  대합실 방향),표 내는 곳 통과 후 2호선 대합실 방향 엘리베이터 탑승
Subway Activity,🚉,,승차 (현 승강장 마천방면 둔촌동행 열차),Board (현 승강장 마천Bound for 둔촌동행 열차),현 승강장에서 마천방면 둔촌동행 열차 탑승
Subway Activity,🚉,,승차 (현 승강장 상일동 방면 길동행 열차),Board (현 승강장 상일동 Bound for 길동행 열차),현 승강장에서 상일동 방면 길동행 열차 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (환승대합실 방향),Enter Elevator (환승대합실 방향),환승대합실 방향 엘리베이터 탑승
Move,🚶,,이동 (환승대합실로),Move (환승대합실로),환승대합실로 이동
Elevator Activity,🛗,,엘리베이터 탑승 (환승통로 방향),Enter Elevator (환승통로 방향),환승통로 방향 엘리베이터 탑승
Subway Activity,🚉,,승차 (환승통로 방향 휠체어리프트),Board (환승통로 방향 휠체어리프트),환승통로 방향 휠체어리프트 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (환승통로 신분당선 승강장 방향),Enter Elevator (환승통로 신분당선 승강장 방향),환승통로 신분당선 승강장 방향 엘리베이터 탑승
Gate,🎫,,게이트 통과 (환승통로 표 내는 곳),Pass Gate (환승통로 표 내는 곳),환승통로 표 내는 곳 통과
Move,🚶,,이동 (환승통로로),Move (환승통로로),환승통로로 이동
Elevator Activity,🛗,,"엘리베이터 탑승 (환승통로로 , 9호선 B2)","Enter Elevator (환승통로로 , 9Line  B2)","환승통로로 이동, 9호선 B2 엘리베이터 탑승"
Elevator Activity,🛗,,엘리베이터 탑승 (회현방면 승강장 9-1 부근),Enter Elevator (회현Bound for 승강장 9-1 부근),회현방면 승강장 9-1 부근 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (효창공원앞 방면 1-1 근처),Enter Elevator (효창공원앞 Bound for 1-1 근처),효창공원앞 방면  1-1 근처 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (6호선 대합실 방향 앞 표 내는 곳 후),Enter Elevator (6Line  대합실 방향 앞 표 내는 곳 후),6호선 대합실 방향 엘리베이터 앞 표 내는 곳 통과 후 엘리베이터 탑승
Move,🚶,1F,이동 (1호선 영등포 방면 승강장으로),Move (1Line  영등포 Bound for 승강장으로),(1F) 1호선 영등포 방면 승강장으로 이동
Elevator Activity,🛗,1F,엘리베이터 탑승 (2번 출입구),Enter Elevator (2번 Exit),(1F) 2번 출입구 엘리베이터 탑승
Move,🚶,1F,이동 (3번 출입구 로),Move (3번 Exit 로),(1F) 3번 출입구 옆 엘리베이터 로 이동
Move,🚶,1F,이동 (대합실로),Move (대합실로),(1F) 대합실로 이동
Elevator Activity,🛗,1F,엘리베이터 탑승 (환승통로 가장 안쪽 (4호기)),Enter Elevator (환승통로 가장 안쪽 (4호기)),(1F) 환승통로 가장 안쪽 엘리베이터(4호기) 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (환승통로 중간에 위치한 경사로를 올라가 (3호기)),Enter Elevator (환승통로 중간에 위치한 경사로를 올라가 (3호기)),(1F) 환승통로 중간에 위치한 경사로를 올라가 엘리베이터(3호기) 탑승
Move,🚶,2F,이동 (표 내는 곳 후 1번 출입구 앞),Move (표 내는 곳 후 1번 Exit 앞),(2F) 표 내는 곳 통과 후 1번 출입구 앞 엘리베이터 이동
Move,🚶,B1,이동 (1호선 동묘앞 방면 대합실로),Move (1Line  동묘앞 Bound for 대합실로),(B1) 1호선 동묘앞 방면 대합실로 이동
Move,🚶,B1,이동 (1호선 제기동 방면 대합실로),Move (1Line  제기동 Bound for 대합실로),(B1) 1호선 제기동 방면 대합실로 이동
Move,🚶,B1,이동 (1호선 종로3가 대합실로),Move (1Line  종로3가 대합실로),(B1) 1호선 종로3가(1)역 대합실로 이동
Move,🚶,B1,이동 (6호선 방향 환승통로로),Move (6Line  방향 환승통로로),(B1) 6호선 방향 환승통로로 이동
Gate,🎫,B1,게이트 통과 (대합실 방향 앞 표 내는 곳),Pass Gate (대합실 방향 앞 표 내는 곳),(B1) 대합실 방향 엘리베이터 앞 표 내는 곳 통과
Move,🚶,B1,이동 (지하1층 대합실로 후 전용 (개집표기) 교통카드),Move (지하1층 대합실로 후 전용 (개집표기) 교통카드),(B1) 지하1층 대합실로 이동 후 E/L 전용 게이트(개집표기) 교통카드 태그
Move,🚶,B1,이동 (환승대합실로),Move (환승대합실로),(B1) 환승대합실로 이동
Move,🚶,B1,이동 (환승통로로),Move (환승통로로),(B1) 환승통로로 이동
Move,🚶,B2,이동 (표 내는 곳 후 대합실 로),Move (표 내는 곳 후 대합실 로),(B2)  표 내는 곳 통과 후 대합실 엘리베이터로 이동
Move,🚶,B2,이동 (2호선 낙성대 방면 승강장으로),Move (2Line  낙성대 Bound for 승강장으로),(B2) 2호선 낙성대 방면 승강장으로 이동
Move,🚶,B2,이동 (2호선 을지로4가 방면 승강장으로),Move (2Line  을지로4가 Bound for 승강장으로),(B2) 2호선 을지로4가 방면 승강장으로 이동
Move,🚶,B2,이동 (김포공항 방면 승강장으로),Move (김포공항 Bound for 승강장으로),(B2) 김포공항 방면 승강장으로 이동
Move,🚶,B2,이동 (방화 방면 승강장으로),Move (방화 Bound for 승강장으로),(B2) 방화 방면 승강장으로 이동
Move,🚶,B2,이동 (을지로3가 방면 승강장으로),Move (을지로3가 Bound for 승강장으로),(B2) 을지로3가 방면 승강장으로 이동
Move,🚶,B2,이동 (표 내는 곳 후 대합실 로),Move (표 내는 곳 후 대합실 로),(B2) 표 내는 곳 통과 후 대합실 엘리베이터로 이동
Move,🚶,B2,이동 (환승 대합실로),Move (환승 대합실로),(B2) 환승 대합실로 이동
Move,🚶,B2,이동 (환승통로),Move (환승통로),(B2) 환승통로 이동
Move,🚶,B2,이동 (환승통로 이용하여 1호선 종로5가 방면 승강장으로),Move (환승통로 이용하여 1Line  종로5가 Bound for 승강장으로),(B2) 환승통로 이용하여 1호선 종로5가 방면 승강장으로 이동
Move,🚶,B2,이동 (환승통로로),Move (환승통로로),(B2) 환승통로로 이동
Move,🚶,B3,이동 (3호선 환승통로로),Move (3Line  환승통로로),(B3) 3호선 환승통로로 이동
Move,🚶,B3,이동 (4호선 동대문 방면 승강장으로),Move (4Line  동대문 Bound for 승강장으로),(B3) 4호선 동대문 방면 승강장으로 이동
Move,🚶,B3,이동 (4호선 명동 방면 승강장으로),Move (4Line  명동 Bound for 승강장으로),(B3) 4호선 명동 방면 승강장으로 이동
Move,🚶,B3,이동 (4호선 승강장으로),Move (4Line  승강장으로),(B3) 4호선 승강장으로 이동
Move,🚶,B3,이동 (4호선 충무로 방면 승강장으로),Move (4Line  충무로 Bound for 승강장으로),(B3) 4호선 충무로 방면 승강장으로 이동
Move,🚶,B3,이동 (5호선 대합실로),Move (5Line  대합실로),(B3) 5호선 대합실로 이동
Move,🚶,B3,이동 (7호선 어린이대공원 방면 승강장으로),Move (7Line  어린이대공원 Bound for 승강장으로),(B3) 7호선 어린이대공원 방면 승강장으로 이동
Move,🚶,B3,이동 (7호선 중곡 방면 승강장으로),Move (7Line  중곡 Bound for 승강장으로),(B3) 7호선 중곡 방면 승강장으로 이동
Move,🚶,B3,"이동 (9호선, 공항철도 방향 환승 통로로)","Move (9Line , 공항철도 방향 환승 통로로)","(B3) 9호선, 공항철도 방향 환승 통로로 이동"
Move,🚶,B3,"이동 (9호선, 공항철도 방향 환승통로로)","Move (9Line , 공항철도 방향 환승통로로)","(B3) 9호선, 공항철도 방향 환승통로로 이동"
Move,🚶,B3,이동 (승강장 으로),Move (승강장 으로),(B3) 승강장 으로 이동
Elevator Activity,🛗,B3,엘리베이터 하차,Exit Elevator,(B3) 엘리베이터 하차
Move,🚶,B3,이동 (일반열차 대합실로),Move (일반열차 대합실로),(B3) 일반열차 대합실로 이동
Elevator Activity,🛗,B3,엘리베이터 탑승 (지하3층 대합실 방향),Enter Elevator (지하3층 대합실 방향),(B3) 지하3층 대합실 방향 엘리베이터 탑승
Move,🚶,B4,이동 (3호선 동대입구 방면 승강장으로),Move (3Line  동대입구 Bound for 승강장으로),(B4) 3호선 동대입구 방면 승강장으로 이동
Move,🚶,B4,이동 (3호선 을지로3가 방면 승강장으로),Move (3Line  을지로3가 Bound for 승강장으로),(B4) 3호선 을지로3가 방면 승강장으로 이동
Move,🚶,B4,이동 (신분당선 신논현 방면 승강장으로),Move (신분당선 신논현 Bound for 승강장으로),(B4) 신분당선 신논현 방면 승강장으로 이동
Move,🚶,B4,이동 (신분당선 신사 방면 승강장으로),Move (신분당선 신사 Bound for 승강장으로),(B4) 신분당선 신사 방면 승강장으로 이동
Elevator Activity,🛗,B4,엘리베이터 탑승 (표 내는 곳 후 5호선 양평 방향),Enter Elevator (표 내는 곳 후 5Line  양평 방향),(B4) 표 내는 곳 통과 후 5호선 양평 방향 엘리베이터 탑승
Move,🚶,B4,이동 (환승통로로),Move (환승통로로),(B4) 환승통로로 이동
Move,🚶,B5,이동 (5호선 을지로4가 방면 승강장으로),Move (5Line  을지로4가 Bound for 승강장으로),(B5) 5호선 을지로4가 방면 승강장으로 이동
Move,🚶,B5,이동 (5호선 청구 방면 승강장으로),Move (5Line  청구 Bound for 승강장으로),(B5) 5호선 청구 방면 승강장으로 이동
Move,🚶,B5,이동 (수인분당선 선정릉 방면 승강장으로),Move (수인분당선 선정릉 Bound for 승강장으로),(B5) 수인분당선 선정릉 방면 승강장으로 이동
Move,🚶,B5,이동 (수인분당선 압구정로데오 방면 승강장으로),Move (수인분당선 압구정로데오 Bound for 승강장으로),(B5) 수인분당선 압구정로데오 방면 승강장으로 이동
Move,🚶,B6,이동 (수인분당선 구룡 방면 승강장으로),Move (수인분당선 구룡 Bound for 승강장으로),(B6) 수인분당선 구룡 방면 승강장으로 이동
Move,🚶,B6,이동 (수인분당선 한티 방면 승강장으로),Move (수인분당선 한티 Bound for 승강장으로),(B6) 수인분당선 한티 방면 승강장으로 이동
Move,🚶,F1,이동 (7호선 수락산 방면),Move (7Line  수락산 Bound for),(F1) 7호선 수락산 방면 엘리베이터 이동
Move,🚶,,이동 (1번/6번 근처 개집표기로),Move (1번/6번 근처 개집표기로),1번/6번 근처 개집표기로 이동
Elevator Activity,🛗,,엘리베이터 탑승 (1호선 환승),Enter Elevator (1Line  환승),1호선 환승 엘리베이터 탑승
Move,🚶,,이동 (2F 대합실로),Move (2F 대합실로),2F 대합실로 이동
Elevator Activity,🛗,,엘리베이터 탑승 (2번출입구 지하1층),Enter Elevator (2번Exit 지하1층),2번출입구 지하1층 엘리베이터 탑승
Move,🚶,,이동 (2호선 대합실로),Move (2Line  대합실로),2호선 대합실로 이동
Subway Activity,🚉,,승차 (3) 종로3가 방면 (휠체어칸)),Board (3) 종로3가 Bound for (휠체어칸)),3) 종로3가 방면 승차 (휠체어칸)
Gate,🎫,,게이트 통과 (3번/4번 출입구 방향 표 내는 곳),Pass Gate (3번/4번 Exit 방향 표 내는 곳),3번/4번 출입구 방향 표 내는 곳 통과
Subway Activity,🚉,,승차 (3호선 대합실 방향 휠체어리프트),Board (3Line  대합실 방향 휠체어리프트),3호선 대합실 방향 휠체어리프트 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (3호선 승강장 방향),Enter Elevator (3Line  승강장 방향),3호선 승강장 방향 엘리베이터 탑승
Move,🚶,,이동 (4번 출입구),Move (4번 Exit),4번 출입구 방면으로 이동
Subway Activity,🚉,,승차 (4호선 동작 방면 휠체어리프트),Board (4Line  동작 Bound for 휠체어리프트),4호선 동작 방면 휠체어리프트 탑승
Subway Activity,🚉,,승차 (4호선 사당 방면 휠체어리프트),Board (4Line  사당 Bound for 휠체어리프트),4호선 사당 방면 휠체어리프트 탑승
Gate,🎫,,게이트 통과 (5호선 대합실 표 내는 곳),Pass Gate (5Line  대합실 표 내는 곳),5호선 대합실 표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (5호선 방향),Enter Elevator (5Line  방향),5호선 방향 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (5호선 송정 방면),Enter Elevator (5Line  송정 Bound for),5호선 송정 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (5호선 승강장 방향),Enter Elevator (5Line  승강장 방향),5호선 승강장 방향 엘리베이터 탑승
Gate,🎫,,게이트 통과 (6번 출입구 방향 표 내는 곳),Pass Gate (6번 Exit 방향 표 내는 곳),6번 출입구 방향 표 내는 곳 통과
Subway Activity,🚉,,승차 (6호선 대합실 방향 휠체어리프트),Board (6Line  대합실 방향 휠체어리프트),6호선 대합실 방향 휠체어리프트 탑승
Move,🚶,,이동 (6호선 대합실로),Move (6Line  대합실로),6호선 대합실로 이동
Elevator Activity,🛗,,엘리베이터 탑승 (6호선 방향 환승),Enter Elevator (6Line  방향 환승),6호선 방향 환승 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (6호선 승강장 방향),Enter Elevator (6Line  승강장 방향),6호선 승강장 방향 엘리베이터 탑승
Subway Activity,🚉,,승차 (6호선 승강장 방향 휠체어리프트),Board (6Line  승강장 방향 휠체어리프트),6호선 승강장 방향 휠체어리프트 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (7호선 3번 출입구),Enter Elevator (7Line  3번 Exit),7호선 3번 출입구 옆 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (7호선 대합실 방향),Enter Elevator (7Line  대합실 방향),7호선 대합실 방향 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (9호선 개화 방면),Enter Elevator (9Line  개화 Bound for),9호선 개화 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (9호선 공항시장 방면),Enter Elevator (9Line  공항시장 Bound for),9호선 공항시장 방면 엘리베이터 탑승
Subway Activity,🚉,,하차 (B1 대합실 EV),Alight (B1 대합실 EV),B1 대합실 EV 하차
Move,🚶,,이동 (B1 대합실로),Move (B1 대합실로),B1 대합실로 이동
Unknown,?,,B5 상선 승강장(6-3),B5 상선 승강장(6-3),B5 상선 승강장(6-3)
Unknown,?,,B5 하선 승강장(3-2),B5 하선 승강장(3-2),B5 하선 승강장(3-2)
Elevator Activity,🛗,,엘리베이터 탑승 (전용 (개집표기) 교통카드 후 거여 방면),Enter Elevator (전용 (개집표기) 교통카드 후 거여 Bound for),E/L 전용 게이트(개집표기) 교통카드 태그 후 거여 방면 엘리베이터 탑승
Gate,🎫,,게이트 통과 (가산디지털단지 방면 앞 표 내는 곳),Pass Gate (가산디지털단지 Bound for 앞 표 내는 곳),가산디지털단지 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (강남구청 방면 앞 표 내는 곳),Pass Gate (강남구청 Bound for 앞 표 내는 곳),강남구청 방면 엘리베이터 앞 표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (강변 방면),Enter Elevator (강변 Bound for),강변 방면 엘리베이터 탑승
Gate,🎫,,게이트 통과 (개롱 방면 앞 표 내는 곳),Pass Gate (개롱 Bound for 앞 표 내는 곳),개롱 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (개집표기),Pass Gate (개집표기),개집표기 통과
Gate,🎫,,게이트 통과 (건대입구 방면 앞 표 내는 곳),Pass Gate (건대입구 Bound for 앞 표 내는 곳),건대입구 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과,Pass Gate,게이트 통과
Elevator Activity,🛗,,엘리베이터 탑승 (공항철도 검암 방면),Enter Elevator (공항철도 검암 Bound for),공항철도 검암 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (공항철도 계양 방면),Enter Elevator (공항철도 계양 Bound for),공항철도 계양 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (공항철도 공항화물청사 방면),Enter Elevator (공항철도 공항화물청사 Bound for),공항철도 공항화물청사 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (공항철도 김포공항 방면),Enter Elevator (공항철도 김포공항 Bound for),공항철도 김포공항 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (공항철도 마곡나루 방면),Enter Elevator (공항철도 마곡나루 Bound for),공항철도 마곡나루 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (공항철도 영종 방면),Enter Elevator (공항철도 영종 Bound for),공항철도 영종 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (공항철도 청라국제도시 방면),Enter Elevator (공항철도 청라국제도시 Bound for),공항철도 청라국제도시 방면 엘리베이터 탑승
Gate,🎫,,게이트 통과 (광명사거리 방면 앞 표 내는 곳),Pass Gate (광명사거리 Bound for 앞 표 내는 곳),광명사거리 방면 엘리베이터 앞 표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (구의 방면),Enter Elevator (구의 Bound for),구의 방면 엘리베이터 탑승
Gate,🎫,,게이트 통과 (길동 방면 앞 표 내는 곳),Pass Gate (길동 Bound for 앞 표 내는 곳),길동 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (길음 방면 앞 표 내는 곳),Pass Gate (길음 Bound for 앞 표 내는 곳),길음 방면 엘리베이터 앞 표 내는 곳 통과
Move,🚶,,이동 (김포골드라인 대합실로),Move (김포골드라인 대합실로),김포골드라인 대합실로 이동
Gate,🎫,,게이트 통과 (논현 방면 앞 표 내는 곳),Pass Gate (논현 Bound for 앞 표 내는 곳),논현 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (당산 방면 앞 표 내는 곳),Pass Gate (당산 Bound for 앞 표 내는 곳),당산 방면 엘리베이터 앞 표 내는 곳 통과
Move,🚶,,이동 (대합실 연결통로),Move (대합실 연결통로),대합실 연결통로 이동
Gate,🎫,,게이트 통과 (동대문 방면 앞 표 내는 곳),Pass Gate (동대문 Bound for 앞 표 내는 곳),동대문 방면 엘리베이터 앞 표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (동대문 방면),Enter Elevator (동대문 Bound for),동대문 방면 엘리베이터 탑승
Subway Activity,🚉,,승차 (동대문사문화공원 방면 (휠체어칸)),Board (동대문사문화공원 Bound for (휠체어칸)),동대문역사문화공원 방면 승차 (휠체어칸)
Gate,🎫,,게이트 통과 (동대문사문화공원 방면 앞 표 내는 곳),Pass Gate (동대문사문화공원 Bound for 앞 표 내는 곳),동대문역사문화공원 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (둔촌동 방면 앞 표 내는 곳),Pass Gate (둔촌동 Bound for 앞 표 내는 곳),둔촌동 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (뚝섬 방면 앞 표 내는 곳),Pass Gate (뚝섬 Bound for 앞 표 내는 곳),뚝섬 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (마곡 방면 앞 표 내는 곳),Pass Gate (마곡 Bound for 앞 표 내는 곳),마곡 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (마천 방면 앞 표 내는 곳),Pass Gate (마천 Bound for 앞 표 내는 곳),마천 방면 엘리베이터 앞 표 내는 곳 통과
Move,🚶,,이동 (명일 방면 앞),Move (명일 Bound for 앞),명일 방면 엘리베이터 앞 이동
Gate,🎫,,게이트 통과 (명일 방면 앞 표 내는 곳),Pass Gate (명일 Bound for 앞 표 내는 곳),명일 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (미아 방면 앞 표 내는 곳),Pass Gate (미아 Bound for 앞 표 내는 곳),미아 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (미아사거리 방면 앞 표 내는 곳),Pass Gate (미아사거리 Bound for 앞 표 내는 곳),미아사거리 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (발산 방면 앞 표 내는 곳),Pass Gate (발산 Bound for 앞 표 내는 곳),발산 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (방이 방면 앞 표 내는 곳),Pass Gate (방이 Bound for 앞 표 내는 곳),방이 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (삼각지 방면 앞 표 내는 곳),Pass Gate (삼각지 Bound for 앞 표 내는 곳),삼각지 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (상도 방면 앞 표 내는 곳),Pass Gate (상도 Bound for 앞 표 내는 곳),상도 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (상왕십리 방면 앞 표 내는 곳),Pass Gate (상왕십리 Bound for 앞 표 내는 곳),상왕십리 방면 엘리베이터 앞 표 내는 곳 통과
Move,🚶,,이동 (상일동 방면 앞),Move (상일동 Bound for 앞),상일동 방면 엘리베이터 앞 이동
Gate,🎫,,게이트 통과 (서울 방면 앞 표 내는 곳),Pass Gate (서울 Bound for 앞 표 내는 곳),서울역 방면 엘리베이터 앞 표 내는 곳 통과
Move,🚶,,이동 (서해선 대합실로),Move (서해선 대합실로),서해선 대합실로 이동
Gate,🎫,,게이트 통과 (성수 방면 앞 표 내는 곳),Pass Gate (성수 Bound for 앞 표 내는 곳),성수 방면 엘리베이터 앞 표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (수락산 방면),Enter Elevator (수락산 Bound for),수락산 방면 엘리베이터 탑승
Gate,🎫,,게이트 통과 (수유 방면 앞 표 내는 곳),Pass Gate (수유 Bound for 앞 표 내는 곳),수유 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (신당 방면 앞 표 내는 곳),Pass Gate (신당 Bound for 앞 표 내는 곳),신당 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (신대방삼거리 방면 앞 표 내는 곳),Pass Gate (신대방삼거리 Bound for 앞 표 내는 곳),신대방삼거리 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (신도림 방면 앞 표 내는 곳),Pass Gate (신도림 Bound for 앞 표 내는 곳),신도림 방면 엘리베이터 앞 표 내는 곳 통과
Unknown,?,,신분당선 논현방면 엘리베이터 탑,신분당선 논현방면 엘리베이터 탑,신분당선 논현방면 엘리베이터 탑
Elevator Activity,🛗,,엘리베이터 탑승 (신분당선 논현방면),Enter Elevator (신분당선 논현Bound for),신분당선 논현방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (신분당선 승강장 방향),Enter Elevator (신분당선 승강장 방향),신분당선 승강장 방향 엘리베이터 탑승
Gate,🎫,,게이트 통과 (신사 방면 앞 표 내는 곳),Pass Gate (신사 Bound for 앞 표 내는 곳),신사 방면 엘리베이터 앞 표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (신설동 방면),Enter Elevator (신설동 Bound for),신설동 방면 엘리베이터 탑승
Unknown,?,,신흥 방면 엘리베이터 이용,신흥 방면 엘리베이터 이용,신흥 방면 엘리베이터 이용
Gate,🎫,,게이트 통과 (쌍문 방면 앞 표 내는 곳),Pass Gate (쌍문 Bound for 앞 표 내는 곳),쌍문 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (앞 표 내는 곳),Pass Gate (앞 표 내는 곳),엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (표 내는 곳 (카드 방향 주의)),Pass Gate (표 내는 곳 (카드 방향 주의)),엘리베이터 옆 표 내는 곳 통과(카드태그 방향 주의)
Elevator Activity,🛗,,엘리베이터 하차,Exit Elevator,엘리베이터 하차
Gate,🎫,,게이트 통과 (용 표 내는 곳),Pass Gate (용 표 내는 곳),엘리베이터용 표 내는 곳 통과
Gate,🎫,,게이트 통과 (영등포구청 방면 앞 표 내는 곳),Pass Gate (영등포구청 Bound for 앞 표 내는 곳),영등포구청 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (옥수 방면 앞 표 내는 곳),Pass Gate (옥수 Bound for 앞 표 내는 곳),옥수 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (왕십리 방면 앞 표 내는 곳),Pass Gate (왕십리 Bound for 앞 표 내는 곳),왕십리 방면 엘리베이터 앞 표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (우이신설선 방향 환승),Enter Elevator (우이신설선 방향 환승),우이신설선 방향 환승 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (우이신설선 보문 방면),Enter Elevator (우이신설선 보문 Bound for),우이신설선 보문 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (우이신설선 정릉 방면),Enter Elevator (우이신설선 정릉 Bound for),우이신설선 정릉 방면 엘리베이터 탑승
Gate,🎫,,게이트 통과 (우장산 방면 앞 표 내는 곳),Pass Gate (우장산 Bound for 앞 표 내는 곳),우장산 방면 엘리베이터 앞 표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (을지로3가방면 표 내는 곳 의),Enter Elevator (을지로3가Bound for 표 내는 곳 의),을지로3가방면 표 내는 곳 옆의 엘리베이터 탑승
Gate,🎫,,게이트 통과 (을지로4가 방면 앞 표 내는 곳),Pass Gate (을지로4가 Bound for 앞 표 내는 곳),을지로4가 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (을지로입구 방면 앞 표 내는 곳),Pass Gate (을지로입구 Bound for 앞 표 내는 곳),을지로입구 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (이촌 방면 앞 표 내는 곳),Pass Gate (이촌 Bound for 앞 표 내는 곳),이촌 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (잠실 방면 앞 표 내는 곳),Pass Gate (잠실 Bound for 앞 표 내는 곳),잠실 방면 엘리베이터 앞 표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (잠실 방면),Enter Elevator (잠실 Bound for),잠실 방면 엘리베이터 탑승
Gate,🎫,,게이트 통과 (잠실나루 방면 앞 표 내는 곳),Pass Gate (잠실나루 Bound for 앞 표 내는 곳),잠실나루 방면 엘리베이터 앞 표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (잠실나루 방면),Enter Elevator (잠실나루 Bound for),잠실나루 방면 엘리베이터 탑승
